county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,2.5,9.2,144.13,Low,2022-08-11,1660201200
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,9.0,16.8,173.95,Medium,2022-08-11,1660201200
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.3,17.0,174.39,Medium,2022-08-11,1660201200
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.3,17.0,235.88,High,2022-08-11,1660201200
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,2.5,9.2,62.31,Low,2022-08-11,1660201200
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.9,15.1,149.12,Medium,2022-08-11,1660201200
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.9,15.1,172.67,Medium,2022-08-11,1660201200
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.4,10.5,220.95,High,2022-08-11,1660201200
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.8,11.3,211.85,High,2022-08-11,1660201200
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,9.9,7.0,274.51,Medium,2022-08-11,1660201200
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,9.0,16.8,400.32,High,2022-08-11,1660201200
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,7.6,12.4,89.54,Medium,2022-08-11,1660201200
Tulare County,06107,California,466195,789,"Tulare, CA",466195,10.5,12.7,183.40,Medium,2022-08-11,1660201200
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.4,10.5,125.78,Medium,2022-08-11,1660201200
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.8,11.9,229.90,High,2022-08-11,1660201200
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,13.6,19.3,309.27,High,2022-08-11,1660201200
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.2,4.1,372.88,Medium,2022-08-11,1660201200
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,5.6,11.5,220.18,High,2022-08-11,1660201200
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,7.4,6.8,112.28,Low,2022-08-11,1660201200
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.2,4.1,154.20,Low,2022-08-11,1660201200
