county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,2.7,3.8,122.40,Low,2022-05-19,1652943600
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,2.7,3.8,178.05,Low,2022-05-19,1652943600
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,2.1,4.8,93.67,Low,2022-05-19,1652943600
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,2.3,9.5,355.96,Medium,2022-05-19,1652943600
Kern County,06029,California,900202,807,"Kern, CA",900202,2.4,3.2,95.09,Low,2022-05-19,1652943600
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,1.4,3.0,11.31,Low,2022-05-19,1652943600
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.3,7.6,140.07,Low,2022-05-19,1652943600
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,3.7,9.4,196.74,Low,2022-05-19,1652943600
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,2.0,3.4,192.91,Low,2022-05-19,1652943600
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.8,7.9,399.41,Medium,2022-05-19,1652943600
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,1.4,3.0,79.41,Low,2022-05-19,1652943600
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,2.9,2.9,0.00,Low,2022-05-19,1652943600
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,4.1,6.9,320.83,Medium,2022-05-19,1652943600
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,1.5,3.2,49.17,Low,2022-05-19,1652943600
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,1.5,3.5,166.52,Low,2022-05-19,1652943600
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,1.1,4.1,13.92,Low,2022-05-12,1652338800
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,1.1,4.1,85.17,Low,2022-05-12,1652338800
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,1.1,4.1,17.53,Low,2022-05-12,1652338800
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,2.9,6.3,177.87,Low,2022-05-12,1652338800
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,2.9,6.3,43.49,Low,2022-05-12,1652338800
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,2.9,6.3,161.29,Low,2022-05-12,1652338800
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.0,0.0,35.98,Low,2022-05-12,1652338800
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.0,0.0,265.86,Medium,2022-05-12,1652338800
Ventura County,06111,California,846006,790,"Ventura, CA",846006,1.5,2.7,115.48,Low,2022-05-12,1652338800
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,1.1,4.4,303.06,Medium,2022-05-12,1652338800
Kern County,06029,California,900202,807,"Kern, CA",900202,2.3,2.9,46.21,Low,2022-05-12,1652338800
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,1.1,4.6,133.72,Low,2022-05-12,1652338800
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,1.0,2.6,56.57,Low,2022-05-12,1652338800
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,1.0,2.6,24.65,Low,2022-05-12,1652338800
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,1.0,2.6,18.44,Low,2022-05-12,1652338800
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,3.0,5.5,153.29,Low,2022-05-12,1652338800
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,3.0,5.5,86.60,Low,2022-05-12,1652338800
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,3.0,5.5,109.96,Low,2022-05-12,1652338800
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,3.0,5.5,126.03,Low,2022-05-12,1652338800
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.0,2.9,48.31,Low,2022-05-12,1652338800
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.0,2.9,82.47,Low,2022-05-12,1652338800
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.0,2.9,59.50,Low,2022-05-12,1652338800
Los Angeles County,06037,California,10039107,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.6,3.1,176.21,Low,2022-05-12,1652338800
Orange County,06059,California,3175692,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.6,3.1,109.17,Low,2022-05-12,1652338800
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.6,3.7,56.64,Low,2022-05-12,1652338800
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.6,3.7,123.20,Low,2022-05-12,1652338800
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.6,3.7,50.31,Low,2022-05-12,1652338800
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,2.0,5.7,41.34,Low,2022-05-12,1652338800
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.7,5.3,248.13,Medium,2022-05-12,1652338800
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.7,5.3,184.82,Low,2022-05-12,1652338800
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.8,2.6,99.88,Low,2022-05-12,1652338800
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.8,2.6,155.83,Low,2022-05-12,1652338800
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,1.1,3.2,125.04,Low,2022-05-12,1652338800
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,1.1,3.2,111.31,Low,2022-05-12,1652338800
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,1.0,2.2,229.42,Medium,2022-05-12,1652338800
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,1.5,5.5,22.62,Low,2022-05-12,1652338800
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,1.5,5.5,48.31,Low,2022-05-12,1652338800
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,1.5,5.5,73.26,Low,2022-05-12,1652338800
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,0.6,1.7,176.18,Low,2022-05-12,1652338800
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.8,6.5,154.13,Low,2022-05-12,1652338800
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.8,6.5,117.82,Low,2022-05-12,1652338800
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.8,6.5,238.87,Medium,2022-05-12,1652338800
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.1,6.1,294.14,Medium,2022-05-12,1652338800
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.1,6.1,287.64,Medium,2022-05-12,1652338800
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.5,7.4,291.32,Medium,2022-05-12,1652338800
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.5,7.4,249.02,Medium,2022-05-12,1652338800
Tulare County,06107,California,466195,789,"Tulare, CA",466195,2.7,2.4,34.96,Low,2022-05-12,1652338800
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,1.2,3.0,88.57,Low,2022-05-12,1652338800
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,2.1,3.6,151.14,Low,2022-05-12,1652338800
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,2.1,3.6,65.90,Low,2022-05-12,1652338800
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,2.1,3.6,69.37,Low,2022-05-12,1652338800
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,2.1,3.6,137.67,Low,2022-05-12,1652338800
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,3.2,1.9,33.28,Low,2022-05-12,1652338800
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,3.2,1.9,106.26,Low,2022-05-12,1652338800
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.3,2.1,86.37,Low,2022-05-12,1652338800
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.3,2.1,99.05,Low,2022-05-12,1652338800
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.3,3.1,83.15,Low,2022-05-12,1652338800
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.3,3.1,48.46,Low,2022-05-12,1652338800
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.5,3.6,71.56,Low,2022-05-05,1651734000
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.5,3.6,70.29,Low,2022-05-05,1651734000
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.5,3.6,159.01,Low,2022-05-05,1651734000
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.5,3.6,120.18,Low,2022-05-05,1651734000
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,0.7,4.3,125.84,Low,2022-05-05,1651734000
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.7,2.3,24.83,Low,2022-05-05,1651734000
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.7,2.3,122.49,Low,2022-05-05,1651734000
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,1.4,4.4,153.44,Low,2022-05-05,1651734000
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.8,3.0,47.44,Low,2022-05-05,1651734000
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.8,3.0,13.92,Low,2022-05-05,1651734000
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.8,3.0,52.12,Low,2022-05-05,1651734000
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,0.8,1.0,61.14,Low,2022-05-05,1651734000
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,0.8,1.0,162.01,Low,2022-05-05,1651734000
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,0.8,1.0,33.80,Low,2022-05-05,1651734000
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,1.3,3.0,8.14,Low,2022-05-05,1651734000
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,1.3,3.0,11.31,Low,2022-05-05,1651734000
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,1.3,3.0,31.10,Low,2022-05-05,1651734000
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.5,3.4,62.86,Low,2022-05-05,1651734000
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.5,3.4,33.35,Low,2022-05-05,1651734000
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.5,3.4,56.57,Low,2022-05-05,1651734000
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,2.6,4.8,41.93,Low,2022-05-05,1651734000
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,2.6,4.8,134.48,Low,2022-05-05,1651734000
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,2.6,4.8,180.04,Low,2022-05-05,1651734000
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.2,1.5,69.42,Low,2022-05-05,1651734000
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.2,1.5,76.92,Low,2022-05-05,1651734000
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.2,2.0,26.17,Low,2022-05-05,1651734000
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.2,2.0,69.12,Low,2022-05-05,1651734000
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,38.80,Low,2022-05-05,1651734000
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,27.69,Low,2022-05-05,1651734000
Tulare County,06107,California,466195,789,"Tulare, CA",466195,2.2,1.3,108.54,Low,2022-05-05,1651734000
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,2.2,5.4,36.75,Low,2022-05-05,1651734000
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.6,5.5,278.37,Medium,2022-05-05,1651734000
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.6,5.5,252.16,Medium,2022-05-05,1651734000
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.1,4.6,204.38,Medium,2022-05-05,1651734000
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.1,4.6,164.87,Low,2022-05-05,1651734000
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,1.1,1.9,0.00,Low,2022-05-05,1651734000
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.8,2.3,52.32,Low,2022-05-05,1651734000
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.8,2.3,58.34,Low,2022-05-05,1651734000
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.8,2.3,64.10,Low,2022-05-05,1651734000
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.8,2.3,146.85,Low,2022-05-05,1651734000
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,2.1,3.7,89.31,Low,2022-05-05,1651734000
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,2.1,3.7,81.48,Low,2022-05-05,1651734000
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,2.1,3.7,90.56,Low,2022-05-05,1651734000
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.6,4.9,112.66,Low,2022-05-05,1651734000
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.6,4.9,49.36,Low,2022-05-05,1651734000
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.6,4.9,201.62,Medium,2022-05-05,1651734000
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,2.1,2.9,33.28,Low,2022-05-05,1651734000
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,2.1,2.9,68.17,Low,2022-05-05,1651734000
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.2,3.8,184.34,Low,2022-05-05,1651734000
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.2,3.8,162.63,Low,2022-05-05,1651734000
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,1.5,2.3,102.79,Low,2022-05-05,1651734000
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,1.5,2.3,118.03,Low,2022-05-05,1651734000
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,1.1,0.7,272.68,Medium,2022-05-05,1651734000
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,0.2,3.5,106.05,Low,2022-05-05,1651734000
Los Angeles County,06037,California,10039107,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.4,2.7,136.12,Low,2022-05-05,1651734000
Orange County,06059,California,3175692,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.4,2.7,82.34,Low,2022-05-05,1651734000
Ventura County,06111,California,846006,790,"Ventura, CA",846006,1.5,3.4,81.32,Low,2022-05-05,1651734000
Kern County,06029,California,900202,807,"Kern, CA",900202,1.8,2.4,43.10,Low,2022-05-05,1651734000
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.2,1.3,50.96,Low,2022-04-28,1651129200
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.2,1.3,127.06,Low,2022-04-28,1651129200
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.0,0.0,29.44,Low,2022-04-28,1651129200
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.0,0.0,5.32,Low,2022-04-28,1651129200
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.2,0.5,18.56,Low,2022-04-28,1651129200
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.2,0.5,52.12,Low,2022-04-28,1651129200
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.2,0.5,28.87,Low,2022-04-28,1651129200
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.3,43.56,Low,2022-04-28,1651129200
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.3,76.82,Low,2022-04-28,1651129200
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.3,181.63,Low,2022-04-28,1651129200
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.3,150.11,Low,2022-04-28,1651129200
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.2,3.4,88.88,Low,2022-04-28,1651129200
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.2,3.4,33.35,Low,2022-04-28,1651129200
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.2,3.4,12.71,Low,2022-04-28,1651129200
Los Angeles County,06037,California,10039107,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.3,2.3,125.79,Low,2022-04-28,1651129200
Orange County,06059,California,3175692,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.3,2.3,64.36,Low,2022-04-28,1651129200
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,1.4,2.6,71.91,Low,2022-04-28,1651129200
Kern County,06029,California,900202,807,"Kern, CA",900202,2.0,2.6,30.99,Low,2022-04-28,1651129200
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,1.5,3.5,77.23,Low,2022-04-28,1651129200
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,1.6,0.6,25.55,Low,2022-04-28,1651129200
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,1.6,0.6,31.70,Low,2022-04-28,1651129200
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,1.6,0.6,23.05,Low,2022-04-28,1651129200
Tulare County,06107,California,466195,789,"Tulare, CA",466195,2.4,1.7,169.46,Low,2022-04-28,1651129200
Ventura County,06111,California,846006,790,"Ventura, CA",846006,1.4,3.0,65.48,Low,2022-04-28,1651129200
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,0.9,2.3,0.00,Low,2022-04-28,1651129200
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,1.7,2.8,37.28,Low,2022-04-28,1651129200
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,1.7,2.8,89.80,Low,2022-04-28,1651129200
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,1.7,2.8,160.44,Low,2022-04-28,1651129200
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.4,4.1,36.62,Low,2022-04-28,1651129200
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.4,4.1,148.30,Low,2022-04-28,1651129200
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.4,4.1,68.19,Low,2022-04-28,1651129200
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,1.5,6.0,34.45,Low,2022-04-28,1651129200
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.0,3.6,242.77,Medium,2022-04-28,1651129200
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.0,3.6,198.63,Low,2022-04-28,1651129200
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.0,5.4,268.13,Medium,2022-04-28,1651129200
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.0,5.4,140.79,Low,2022-04-28,1651129200
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.0,3.7,131.63,Low,2022-04-28,1651129200
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.0,3.7,131.51,Low,2022-04-28,1651129200
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.7,2.0,111.47,Low,2022-04-28,1651129200
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.7,2.0,101.34,Low,2022-04-28,1651129200
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,1.2,1.8,67.46,Low,2022-04-28,1651129200
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,1.2,1.8,82.64,Low,2022-04-28,1651129200
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,1.2,2.2,200.94,Medium,2022-04-28,1651129200
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,1.2,9.2,88.70,Low,2022-04-28,1651129200
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,1.2,9.2,62.31,Low,2022-04-28,1651129200
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,1.0,1.0,32.56,Low,2022-04-28,1651129200
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,1.0,1.0,11.31,Low,2022-04-28,1651129200
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,1.0,1.0,17.21,Low,2022-04-28,1651129200
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.7,93.01,Low,2022-04-28,1651129200
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.7,52.22,Low,2022-04-28,1651129200
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.7,65.74,Low,2022-04-28,1651129200
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.7,66.08,Low,2022-04-28,1651129200
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.9,2.9,68.36,Low,2022-04-28,1651129200
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.9,2.9,85.53,Low,2022-04-28,1651129200
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.9,2.9,43.57,Low,2022-04-28,1651129200
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,2.5,2.9,51.13,Low,2022-04-28,1651129200
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,2.5,2.9,199.67,Low,2022-04-28,1651129200
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,0.6,1.5,135.00,Low,2022-04-28,1651129200
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,0.8,1.7,0.00,Low,2022-04-21,1650524400
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.3,3.9,87.57,Low,2022-04-21,1650524400
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.3,3.9,129.31,Low,2022-04-21,1650524400
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.3,3.9,125.33,Low,2022-04-21,1650524400
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,0.2,0.0,6.54,Low,2022-04-21,1650524400
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,0.2,0.0,271.18,Medium,2022-04-21,1650524400
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,1.3,1.1,156.29,Low,2022-04-21,1650524400
Kern County,06029,California,900202,807,"Kern, CA",900202,1.9,1.6,47.10,Low,2022-04-21,1650524400
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,77.61,Low,2022-04-21,1650524400
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,124.62,Low,2022-04-21,1650524400
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.7,2.1,87.98,Low,2022-04-21,1650524400
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.7,2.1,35.96,Low,2022-04-21,1650524400
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,2.7,2.1,13.98,Low,2022-04-21,1650524400
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.4,2.3,110.45,Low,2022-04-21,1650524400
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.4,2.3,54.02,Low,2022-04-21,1650524400
